,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
10,damages,curve,bucket,conflict,desire,certificate,female,clash,church,commentator,depth,conference,core,consultation,district,harry,crowd,device,chamber,conclusion,corp,detail,france,decade,discipline,declaration,crew,electricity,episode,dish,isabel,friend,coach,gang,consciousness,gear,horse,knee,drawing,kingdom,face,graham,cross,flesh,fibre
11,debt,cycle,button,consensus,determination,closure,human,collapse,clinic,consultant,depths,contest,defect,control,east,henry,decline,disk,charity,condition,corporation,dialogue,french,dinner,discourse,decree,driver,energy,film,drink,jack,husband,commander,gentleman,contempt,glove,hunt,limb,dream,nation,flag,grant,drive,gene,furniture
12,demand,datum,cigarette,contradiction,discretion,completion,male,crash,college,critic,ease,division,dimension,delivery,forest,james,deficit,document,charter,consequence,creditor,direction,german,evening,discrimination,defendant,flight,exposure,horror,flavour,jane,lady,commissioner,ghost,courage,grip,insect,neck,drop,pope,forehead,howard,edge,heart,garment
13,deposit,definition,coffin,controversy,effort,concession,marriage,crisis,cottage,democrat,effectiveness,draft,disorder,demonstration,gulf,john,degree,engine,coalition,consideration,customer,emphasis,germany,event,doctrine,directive,goods,fire,interview,food,kate,landlord,constable,girl,curiosity,hook,lamb,shoulder,gaze,prince,front,jackson,entrance,illness,glass
14,dividend,delay,coin,conversation,failure,consent,offender,death,estate,designer,efficiency,final,domain,design,island,joseph,distance,entity,command,criterion,dealer,evidence,india,exhibition,economy,election,guard,flame,journal,fruit,laura,lord,councillor,hero,danger,knife,monster,spine,gesture,princess,green,johnson,fault,infection,gold
15,dollar,description,column,criticism,gain,conversion,parent,defeat,facility,editor,emission,football,element,development,lake,luke,dose,equipment,commission,difficulty,developer,experience,iraq,festival,faction,enquiry,helicopter,flood,magazine,grain,lily,lover,delegate,inhabitant,darkness,knot,mouse,stroke,gift,queen,hair,jones,fence,mouth,interior
16,earnings,difference,container,debate,guide,creation,patient,destruction,factory,engineer,flow,game,expression,discovery,land,mark,excess,file,committee,distinction,distribution,expertise,ireland,holiday,fashion,hearing,lift,fuel,movie,ingredient,lucy,mother,deputy,killer,delight,leaf,nest,surgery,glance,republic,horn,kelly,field,muscle,lamp
17,employment,equation,counter,dilemma,help,departure,victim,disaster,farm,expert,frequency,league,factor,education,landscape,martin,extent,filter,community,duty,employee,finding,israel,hour,hierarchy,injunction,lorry,heat,music,juice,maggie,name,director,knight,disappointment,mirror,organism,thigh,glimpse,rule,jacket,kinnock,gate,nerve,metal
18,expenditure,equivalent,cover,discussion,incentive,entry,voter,enemy,gallery,historian,generation,match,feature,environment,middle,michael,fraction,format,congress,effect,employer,focus,italy,lecture,history,inquiry,mail,light,mystery,lunch,marie,neighbour,executive,miner,embarrassment,nail,palm,thumb,grin,troops,left,lewis,ground,pain,paint
19,expense,error,crack,dispute,instinct,establishment,witness,expedition,garage,journalist,height,medal,form,evaluation,mountain,mungo,grade,image,convention,existence,enterprise,guidance,japan,meeting,hitler,judgement,missile,mist,news,meal,mary,opponent,governor,nurse,emotion,needle,plant,wing,guest,,mask,miller,hill,skin,painting
20,finance,estimate,cupboard,doubt,intention,favour,,explosion,garden,lawyer,impulse,player,formation,evolution,north,nigel,half,instrument,council,expectation,exchange,impact,june,minute,identity,judgment,motor,moon,newspaper,meat,penny,partner,head,participant,enthusiasm,pitch,prey,wound,guitar,,nose,morgan,horizon,stem,paper
21,fortune,example,deck,essay,let,future,,fall,grave,observer,input,poll,fragment,examination,ocean,patrick,handful,interface,defence,goal,export,impression,kong,month,ideology,jurisdiction,passenger,noise,novel,milk,rachel,pupil,inspector,peasant,excitement,pole,rabbit,wrist,headline,,patch,scot,lane,stomach,pipe
22,fund,extension,desk,explanation,loyalty,independence,,fight,hall,organiser,intensity,prize,function,exercise,planet,paul,hundred,item,delegation,grounds,firm,influence,leeds,morning,inequality,jury,personnel,pollution,papers,pint,robyn,rival,judge,people,faith,punch,seed,,hold,,profile,scott,line,tear,roof
23,health,formula,disc,fact,need,intervention,,fighting,headquarters,photographer,length,professional,molecule,expansion,port,peter,incidence,layer,department,habit,holder,information,liverpool,night,language,legislation,pilot,pressure,photograph,potato,ruth,sister,justice,person,fate,ring,sheep,,host,,right,smith,metre,throat,rose
24,income,framework,door,guideline,obligation,introduction,,force,home,poet,lifespan,qualification,organ,experiment,province,philip,increase,logic,embassy,idea,household,insight,london,occasion,literature,offence,plane,rain,picture,recipe,sarah,successor,leader,policeman,fear,rope,species,,kick,,seal,taylor,mile,tissue,sand
25,inflation,hypothesis,downstairs,hint,obstacle,invitation,,incident,hospital,politician,load,quarter,pattern,growth,region,richard,individual,machine,foundation,ideal,import,interaction,march,past,manner,opinion,radio,recession,poem,salt,susan,wife,magistrate,priest,feeling,shaft,specimen,,kiss,,shirt,thatcher,mine,tongue,shell
26,insurance,index,envelope,issue,offer,licence,,invasion,hotel,practitioner,maximum,race,phase,identification,reserve,robert,lack,machinery,gorbachev,implication,industry,interest,moscow,period,marx,penalty,rail,shadow,poetry,scent,tony,,manager,prisoner,freedom,star,tree,,laugh,,signature,tory,pass,vein,shoe
27,investment,instance,flat,joke,opportunity,merger,,journey,house,producer,medium,rally,phenomenon,implementation,river,simon,level,material,government,importance,insider,interpretation,oxford,place,medicine,petition,railway,shock,portrait,smell,willie,,master,reader,friendship,stick,,,lead,,skirt,walker,path,virus,stair
28,lease,interval,floor,lesson,order,opening,,killing,housing,publisher,momentum,round,present,improvement,settlement,stephen,list,memory,group,kind,investor,involvement,paris,programme,minority,plaintiff,ship,smoke,poster,sugar,,,member,refugee,frustration,stitch,,,look,,sleeve,ward,pavement,,stone
29,liability,limit,forward,letter,plan,participation,,landing,kitchen,reporter,motion,season,protein,innovation,shore,thomas,loss,menu,initiative,meaning,label,knowledge,rome,ritual,movement,proceedings,supplies,snow,press,sweat,,,minister,resident,glory,sword,,,move,,suit,washington,pond,,tile
30,lifetime,limitation,frame,link,potential,passage,,launch,library,researcher,output,second,remains,inspection,south,william,major,mode,institute,means,maker,mind,russia,routine,myth,proposal,taxi,soil,print,taste,,,officer,rider,guilt,tooth,,,play,,tail,williams,ridge,,wood
31,loan,measure,handle,links,preference,permission,,murder,living,scholar,pace,sport,root,instruction,summit,,majority,module,institution,merit,manufacturer,perception,russian,scene,nature,proposition,telephone,sound,publication,wine,,,president,servant,happiness,torch,,,prayer,,trousers,wilson,road,,
32,membership,measurement,heap,matter,priority,possession,,occupation,location,scientist,performance,squad,sequence,integration,territory,,margin,network,joint,motive,market,perspective,scotland,schedule,opposition,prosecution,tourist,storm,recording,,,,prime,soldier,harm,wheel,,,rhythm,,uniform,wright,rock,,
33,money,mechanism,holding,mess,promise,promotion,,operation,mill,specialist,power,team,shape,intelligence,town,,mass,object,labour,necessity,media,practice,spain,seconds,origin,punishment,traffic,strain,script,,,,representative,stranger,heaven,wire,,,ride,,waist,,route,,
34,mortgage,method,hole,message,refusal,publicity,,protest,museum,supporter,production,title,sphere,investigation,valley,,million,package,leadership,notion,monopoly,presence,wales,session,philosophy,recommendation,train,stress,series,,,,secretary,student,hell,,,,roll,,white,,section,,
35,payment,model,inch,mistake,relation,receipt,,pursuit,palace,teacher,pulse,tour,spread,isolation,village,,minimum,packet,ministry,objective,operator,reading,world,spring,policy,referendum,transport,sunlight,song,,,,sergeant,teenager,honour,,,,show,,,,side,,
36,pension,norm,ladder,moment,respect,reception,,raid,park,writer,quality,tournament,structure,laboratory,waters,,mixture,particle,mission,outcome,owner,reflection,york,stage,politics,remedy,truck,tension,story,,,,solicitor,thief,hope,,,,sigh,,,,slope,,
37,price,option,leaflet,note,response,recognition,,rebel,prison,,scope,trophy,substance,maintenance,west,,number,phone,office,point,ownership,relationship,,summer,position,report,vehicle,tide,tale,,,,speaker,traveller,hostility,,,,sight,,,,strand,,
38,profit,outline,lock,notice,reward,rejection,,resistance,restaurant,,sensitivity,victory,symbol,management,zone,,other,platform,official,possibility,portfolio,representation,,time,profession,resolution,vessel,waste,television,,,,spokesman,woman,imagination,,,,sign,,,,stream,,
39,property,parameter,open,objection,struggle,release,,rise,school,,size,wicket,symptom,negotiation,,,pair,processor,organisation,premise,premium,sense,,times,regime,sanction,visitor,water,universe,,,,trustee,worker,jesus,,,,sleep,,,,street,,
40,prospects,procedure,pack,page,tendency,removal,,shot,seat,,spectrum,winner,target,observation,,,part,program,organization,principle,product,senses,,week,religion,sentence,,wave,verse,,,,,youngster,laughter,,,,slice,,,,stretch,,
41,rent,process,panel,paragraph,thanks,replacement,,strike,shelter,,speed,,trace,planning,,,peak,protocol,parliament,privilege,purchase,skill,,weekend,revolution,statute,,weather,version,,,,,,life,,,,smile,,,,strip,,
42,revenue,questionnaire,piece,phrase,will,request,,suicide,shop,,stability,,type,preparation,,,percentage,receiver,partnership,proof,purchaser,teaching,,winter,stance,treaty,,wind,video,,,,,,love,,,,speech,,,,surface,,
43,rights,reaction,pile,plot,willingness,resignation,,terror,site,,strength,,variable,presentation,,,plenty,signal,party,prospect,sale,thinking,,year,strategy,trial,,,volume,,,,,,mood,,,,spell,,,,track,,
44,risk,reduction,pillow,problem,wish,retirement,,threat,square,,supply,,,progress,,,population,software,peace,provision,sector,thought,,,style,tribunal,,,,,,,,,panic,,,,spot,,,,trail,,
45,salary,restriction,plate,question,,return,,,station,,temperature,,,project,,,portion,space,police,purpose,seller,understanding,,,tactic,verdict,,,,,,,,,passion,,,,stand,,,,tunnel,,
46,savings,scale,pocket,reference,,separation,,,statue,,tone,,,protection,,,proportion,specification,post,reason,shareholder,view,,,thesis,vote,,,,,,,,,personality,,,,start,,,,wall,,
47,security,scheme,pool,remark,,status,,,store,,weight,,,recovery,,,quantity,switch,public,remainder,stake,vision,,,tradition,warrant,,,,,,,,,pleasure,,,,stop,,,,,,
48,spending,setting,pound,reply,,succession,,,studio,,,,,regulation,,,range,system,reform,requirement,stock,work,,,trend,,,,,,,,,,popularity,,,,surprise,,,,,,
49,subsidy,shift,room,rumour,,support,,,temple,,,,,research,,,rank,technology,relief,responsibility,subsidiary,writing,,,unity,,,,,,,,,,poverty,,,,talk,,,,,,
50,unemployment,solution,screen,scandal,,transfer,,,tent,,,,,resource,,,rate,tool,secret,rest,supplier,,,,violence,,,,,,,,,,pride,,,,theme,,,,,,
51,wages,source,sheet,situation,,withdrawal,,,terrace,,,,,review,,,rating,unit,service,role,tenant,,,,,,,,,,,,,,rage,,,,touch,,,,,,
52,wealth,standard,shelf,speculation,,,,,theatre,,,,,safety,,,ratio,user,society,significance,trade,,,,,,,,,,,,,,reality,,,,trick,,,,,,
53,welfare,step,slide,statement,,,,,tower,,,,,science,,,record,viewer,staff,sort,trading,,,,,,,,,,,,,,reputation,,,,trip,,,,,,
54,,stimulus,sofa,stuff,,,,,villa,,,,,search,,,register,weapon,state,validity,transaction,,,,,,,,,,,,,,satisfaction,,,,tune,,,,,,
55,,task,string,subject,,,,,workshop,,,,,selection,,,relative,,treasury,,vendor,,,,,,,,,,,,,,self,,,,turn,,,,,,
56,,technique,table,suggestion,,,,,yard,,,,,statistics,,,result,,trust,,venture,,,,,,,,,,,,,,sensation,,,,visit,,,,,,
57,,term,tank,text,,,,,,,,,,study,,,sample,,union,,,,,,,,,,,,,,,,silence,,,,voice,,,,,,
58,,theory,tape,thing,,,,,,,,,,survey,,,score,,university,,,,,,,,,,,,,,,,soul,,,,walk,,,,,,
59,,transformation,ticket,thread,,,,,,,,,,survival,,,share,,volunteer,,,,,,,,,,,,,,,,spirit,,,,watch,,,,,,
60,,transition,tonne,topic,,,,,,,,,,test,,,shortage,,youth,,,,,,,,,,,,,,,,success,,,,,,,,,,
61,,variation,towel,warning,,,,,,,,,,training,,,surplus,,,,,,,,,,,,,,,,,,suspicion,,,,,,,,,,
62,,,trap,word,,,,,,,,,,treatment,,,thousand,,,,,,,,,,,,,,,,,,sympathy,,,,,,,,,,
63,,,tray,,,,,,,,,,,,,,total,,,,,,,,,,,,,,,,,,talent,,,,,,,,,,
64,,,tube,,,,,,,,,,,,,,turnover,,,,,,,,,,,,,,,,,,tragedy,,,,,,,,,,
65,,,while,,,,,,,,,,,,,,value,,,,,,,,,,,,,,,,,,triumph,,,,,,,,,,
66,,,whilst,,,,,,,,,,,,,,variety,,,,,,,,,,,,,,,,,,trouble,,,,,,,,,,
67,,,window,,,,,,,,,,,,,,whole,,,,,,,,,,,,,,,,,,truth,,,,,,,,,,
68,,,,,,,,,,,,,,,,,worth,,,,,,,,,,,,,,,,,,uncertainty,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,virtue,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,warmth,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weakness,,,,,,,,,,
