,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,dollar,formula,quote,ability,absence,abuse,accommodation,accountant,acre,action,adam,administration,adult,advance,advertisement,advertising,africa,afternoon,agenda,agreement,aircraft,airport,alarm,ally,alternative,angle,ankle,applicant,approach,area,award,baker,basket
1,pound,analysis,access,ambition,acceptance,accident,advantage,actor,apartment,advice,alice,agency,angel,army,article,album,america,anniversary,aspect,amendment,airline,base,anger,bishop,american,arrow,back,buyer,block,beach,bowl,bell,belt
2,acid,application,account,anxiety,accuracy,affair,allocation,adviser,bath,allegation,anna,assembly,animal,assault,bible,alliance,april,autumn,background,bill,bike,camp,atmosphere,boss,being,ball,bone,citizen,blow,border,career,brown,blanket
3,alcohol,architecture,address,attention,achievement,arrest,allowance,agent,bathroom,announcement,anne,association,baby,attack,book,band,australia,beginning,basis,charter,boat,centre,beauty,brother,best,barrel,bottom,client,break,boundary,category,bush,boot
4,apple,arrangement,answer,attitude,acquisition,battle,amount,ambassador,bedroom,appointment,athelstan,authority,bacterium,cast,catalogue,brand,britain,birthday,characteristic,clause,carriage,clinic,breath,chancellor,black,barrier,brain,collector,call,canal,certificate,clarke,bottle
5,beer,array,appeal,attraction,activity,boom,asset,analyst,bridge,approval,benjamin,bank,bird,charge,collection,business,china,breakfast,choice,compromise,carrier,complex,breeze,child,christian,battery,breast,competitor,challenge,capital,champion,clinton,brush
6,blood,calculation,attempt,audience,addition,breach,average,architect,building,argument,blanche,board,body,command,column,campaign,empire,century,circumstance,concession,craft,desk,colour,colleague,conservative,beam,brow,consumer,crack,circuit,championship,cook,carpet
7,bond,capability,benefit,awareness,admission,cancer,balance,artist,castle,assessment,caroline,branch,bull,control,composition,chain,england,ceremony,combination,constitution,flight,embassy,comfort,companion,current,bench,cheek,creditor,cross,city,class,corbett,cloth
8,bread,code,care,behaviour,adoption,chaos,budget,assistant,cathedral,assumption,charles,cabinet,character,crew,content,channel,europe,concert,concept,constraint,helicopter,facility,darkness,cousin,english,blade,chest,customer,dance,cliff,competition,eliot,clothes
9,brick,component,cause,bias,appearance,clash,bulk,auditor,chapel,belief,charlie,chair,christ,crowd,contents,charity,february,couple,conception,contract,lorry,factory,delight,daughter,equivalent,bomb,chin,dealer,defeat,climate,contest,ford,coat
10,cake,computer,change,co-operation,arrival,collapse,burden,author,church,case,david,chamber,corpse,defence,conversation,coalition,france,course,condition,criterion,missile,gallery,depth,duke,female,bucket,elbow,defendant,draw,coast,degree,gorbachev,coffin
