,0,1,2,3,4,5,6,7,8,9
69,industry,element,craft,effort,hostility,foundation,couple,historian,housing,robert
70,inflation,emission,cream,enquiry,identity,framework,court,holder,interior,robyn
71,insider,energy,creature,entry,ideology,guidance,crash,host,island,rose
72,insurance,engine,cupboard,essay,illness,guide,crew,inhabitant,lake,ruth
73,investment,equation,curtain,evidence,imagination,health,crime,inspector,land,sarah
74,investor,equivalent,custom,example,importance,human,crisis,journalist,landing,scot
75,jurisdiction,error,deck,explanation,influence,identification,crowd,judge,landscape,scott
76,lease,estimate,disc,fact,insight,implementation,crown,justice,lane,simon
77,liability,evolution,dish,file,instinct,improvement,current,king,library,sister
78,licence,excess,disk,finding,intention,information,dance,knight,line,smith
79,loan,experiment,door,format,interest,initiative,dawn,landlord,location,stephen
80,mail,explosion,doorway,glance,involvement,innovation,death,lawyer,metre,susan
81,manufacturer,exposure,downstairs,glimpse,jesus,inspection,decade,leader,middle,taylor
82,market,expression,dress,guideline,knowledge,institute,declaration,lord,mile,thatcher
83,membership,extent,drink,hearing,laughter,institution,decree,lover,mill,thomas
84,million,factor,drop,hint,life,instruction,defeat,magistrate,mine,tony
85,money,failure,dust,hypothesis,love,integration,degree,maker,motor,walker
86,monopoly,fibre,earth,idea,loyalty,intelligence,delegation,manager,mountain,wife
87,mortgage,filter,elbow,image,memory,interface,departure,master,museum,william
88,obligation,flavour,envelope,implication,merit,intervention,diary,member,north,williams
89,offer,flow,eyebrow,impression,mind,introduction,dinner,miner,ocean,willie
90,office,form,fabric,incident,mood,investigation,division,minister,palace,wilson
91,operator,formation,face,injunction,mystery,joint,draft,mother,park,wright
92,ownership,formula,fence,inquiry,myth,laboratory,drama,neighbour,pass,
93,parent,fraction,finger,instance,nature,launch,draw,nurse,passage,
94,partnership,fragment,fire,interpretation,necessity,leadership,drawing,officer,passenger,
95,payment,frequency,fish,issue,pain,legislation,duty,opponent,peak,
96,pension,fuel,fist,item,panic,machinery,edition,organiser,plant,
97,phone,function,flame,joke,participation,maintenance,election,owner,point,
98,plaintiff,gain,flat,judgement,passion,management,embassy,participant,pond,
99,portfolio,gene,flesh,judgment,perception,media,emperor,partner,pool,
100,premium,generation,floor,kind,personality,medicine,empire,photographer,port,
101,price,growth,flower,language,philosophy,ministry,enemy,pilot,portion,
102,print,heat,foot,leaflet,pleasure,missile,england,player,present,
103,privilege,height,forehead,lesson,popularity,mission,english,poet,prospect,
104,profit,hierarchy,forward,let,poverty,model,episode,policeman,rail,
105,property,ideal,frame,letter,prayer,module,europe,politician,railway,
106,public,impact,front,link,presence,negotiation,evening,portrait,region,
107,purchase,impulse,fruit,links,pride,network,event,practitioner,remains,
108,purchaser,incidence,furniture,list,profession,observation,exhibition,president,reserve,
109,rating,increase,garment,logic,promise,open,expedition,priest,restaurant,
110,receipt,index,gear,look,publicity,operation,faction,prime,ridge,
111,register,individual,ghost,manner,punishment,organisation,fall,prince,river,
112,rent,inequality,glass,material,pursuit,organization,family,princess,road,
113,revenue,infection,glove,matter,rage,package,fashion,prisoner,route,
114,reward,ingredient,grain,meaning,reality,packet,feature,producer,salt,
115,rights,injury,grass,mess,recognition,performance,february,publisher,school,
116,salary,input,green,message,refusal,personnel,female,pupil,section,
117,sale,insect,grin,mistake,rejection,plan,festival,reporter,settlement,
118,savings,instrument,grip,moment,relationship,planning,fight,representative,shelter,
119,seller,intensity,guitar,motive,religion,platform,fighting,researcher,ship,
120,share,interaction,hair,name,reputation,policy,film,resident,shop,
121,shareholder,interval,hand,need,respect,practice,final,rider,shore,
122,spending,isolation,handle,norm,ritual,preparation,flag,rival,side,
123,stake,lack,heap,note,satisfaction,presentation,fleet,scholar,site,
124,statute,layer,heart,notice,self,priority,flight,scientist,slope,
125,stock,length,heel,notion,sensation,procedure,football,secretary,south,
126,subsidiary,level,helicopter,objection,sense,process,force,sergeant,square,
127,subsidy,lifespan,hell,objective,senses,product,france,servant,station,
128,supplier,limit,hold,offence,significance,production,french,soldier,statue,
129,surplus,limitation,hole,offender,silence,program,future,solicitor,store,
130,taxi,load,hook,opinion,skill,programme,game,speaker,strand,
131,telephone,loss,horizon,opportunity,soul,progress,gang,spokesman,stream,
132,tenant,margin,horn,option,spirit,project,german,student,street,
133,ticket,mass,horse,outcome,struggle,promotion,germany,successor,stretch,
134,trade,maximum,inch,outline,style,prospects,goal,supporter,summit,
135,trading,means,jacket,page,success,protection,gold,teacher,temple,
136,transaction,measure,juice,paragraph,surprise,protocol,gorbachev,teenager,terrace,
137,treasury,measurement,kick,permission,suspicion,provision,grade,thief,territory,
138,trust,mechanism,killer,person,sympathy,qualification,group,tory,theatre,
139,unemployment,medium,kiss,perspective,talent,quality,guard,traveller,tourist,
140,vendor,method,kitchen,petition,taste,recovery,guest,trustee,tower,
141,venture,minimum,knee,photograph,tendency,reform,half,victim,town,
142,voter,mixture,knife,phrase,terror,regulation,handful,winner,track,
143,wages,mode,knot,picture,thinking,relief,headline,woman,trail,
144,worth,molecule,ladder,plenty,tradition,removal,history,worker,train,
145,,momentum,lamb,plot,tragedy,replacement,hitler,writer,tunnel,
146,,motion,lamp,poem,triumph,research,holiday,youngster,valley,
147,,muscle,laugh,poll,trouble,resolution,honour,,vessel,
148,,nerve,leaf,possibility,truth,resource,hour,,villa,
149,,noise,lift,poster,understanding,responsibility,hundred,,village,
150,,number,light,preference,unity,routine,independence,,visitor,
151,,object,limb,premise,violence,safety,india,,ward,
152,,obstacle,lock,principle,virtue,schedule,interview,,waters,
153,,organism,lorry,problem,vision,scheme,invasion,,west,
154,,origin,lunch,proof,voice,science,invitation,,yard,
155,,output,machine,proposal,warmth,scope,iraq,,zone,
156,,pace,mask,proposition,weakness,search,ireland,,,
157,,parameter,meal,prosecution,wealth,sector,israel,,,
158,,particle,meat,purpose,willingness,security,italy,,,
159,,path,menu,question,,selection,japan,,,
160,,patient,metal,questionnaire,,service,journal,,,
161,,pattern,milk,reader,,setting,journey,,,
162,,percentage,mirror,reading,,software,june,,,
163,,phase,mist,reason,,space,jury,,,
164,,phenomenon,monster,recipe,,specialist,killing,,,
165,,pollution,moon,recommendation,,specification,kingdom,,,
166,,population,mouse,reference,,staff,kinnock,,,
167,,potential,mouth,relation,,standard,kong,,,
168,,power,nail,remark,,statistics,label,,,
169,,pressure,neck,remedy,,status,labour,,,
170,,processor,needle,reply,,strategy,lead,,,
171,,profile,nest,report,,study,league,,,
172,,proportion,nose,request,,supplies,lecture,,,
173,,protein,organ,requirement,,supply,leeds,,,
174,,pulse,pack,response,,support,left,,,
175,,quantity,paint,restriction,,surgery,lifetime,,,
176,,range,pair,review,,survey,literature,,,
177,,rate,palm,rumour,,survival,liverpool,,,
178,,ratio,panel,sanction,,system,living,,,
179,,reaction,paper,script,,task,london,,,
180,,recession,patch,sentence,,teaching,magazine,,,
181,,reduction,pavement,sigh,,technology,major,,,
182,,reflection,piece,sign,,test,majority,,,
183,,relative,pile,situation,,tool,male,,,
184,,representation,pillow,solution,,traffic,march,,,
185,,resistance,pint,sort,,training,marriage,,,
186,,result,pipe,source,,transfer,marx,,,
187,,rise,pitch,speculation,,transport,match,,,
188,,risk,plane,speech,,treatment,medal,,,
189,,root,plate,stance,,unit,meeting,,,
190,,sample,pocket,statement,,vehicle,merger,,,
191,,scale,potato,step,,volunteer,minority,,,
192,,sensitivity,pound,story,,waste,minute,,,
193,,separation,prey,stuff,,weather,month,,,
194,,sequence,punch,subject,,welfare,morning,,,
195,,shape,rabbit,suggestion,,,moscow,,,
196,,shift,rain,tactic,,,move,,,
197,,shock,receiver,tale,,,movement,,,
198,,shortage,rhythm,term,,,movie,,,
199,,signal,ride,text,,,murder,,,
200,,size,right,thanks,,,music,,,
201,,soil,ring,thesis,,,nation,,,
202,,sound,rock,thing,,,news,,,
203,,species,roll,thought,,,newspaper,,,
204,,specimen,roof,thread,,,night,,,
205,,spectrum,room,threat,,,novel,,,
206,,speed,rope,tone,,,observer,,,
207,,sphere,sand,topic,,,occasion,,,
208,,spread,scent,user,,,occupation,,,
209,,stability,screen,validity,,,official,,,
210,,stem,seal,verdict,,,opening,,,
211,,stimulus,seconds,verse,,,opposition,,,
212,,strain,seed,version,,,order,,,
213,,strength,shadow,view,,,other,,,
214,,stress,shaft,viewer,,,oxford,,,
215,,stroke,sheep,vote,,,painting,,,
216,,structure,sheet,warning,,,papers,,,
217,,substance,shelf,warrant,,,paris,,,
218,,sunlight,shell,whole,,,parliament,,,
219,,surface,shirt,will,,,part,,,
220,,symbol,shoe,wish,,,party,,,
221,,symptom,shot,witness,,,past,,,
222,,target,shoulder,word,,,peace,,,
223,,technique,sight,work,,,peasant,,,
224,,temperature,signature,writing,,,penalty,,,
225,,tension,skin,,,,people,,,
226,,theory,skirt,,,,period,,,
227,,tissue,sleep,,,,place,,,
228,,tonne,sleeve,,,,planet,,,
229,,total,slice,,,,play,,,
230,,trace,slide,,,,poetry,,,
231,,transformation,smell,,,,pole,,,
232,,transition,smile,,,,police,,,
233,,trend,smoke,,,,politics,,,
234,,turnover,snow,,,,pope,,,
235,,type,sofa,,,,position,,,
236,,uncertainty,spell,,,,possession,,,
237,,value,spine,,,,post,,,
238,,variable,spot,,,,press,,,
239,,variation,stair,,,,prison,,,
240,,variety,stand,,,,prize,,,
241,,virus,stick,,,,proceedings,,,
242,,volume,stitch,,,,professional,,,
243,,wave,stomach,,,,protest,,,
244,,weight,stone,,,,province,,,
245,,,stop,,,,publication,,,
246,,,stranger,,,,quarter,,,
247,,,string,,,,queen,,,
248,,,strip,,,,race,,,
249,,,sugar,,,,radio,,,
250,,,suit,,,,raid,,,
251,,,sweat,,,,rally,,,
252,,,switch,,,,rank,,,
253,,,sword,,,,rebel,,,
254,,,table,,,,reception,,,
255,,,tail,,,,record,,,
256,,,tank,,,,recording,,,
257,,,tape,,,,referendum,,,
258,,,tear,,,,refugee,,,
259,,,tent,,,,regime,,,
260,,,thigh,,,,release,,,
261,,,throat,,,,remainder,,,
262,,,thumb,,,,republic,,,
263,,,tide,,,,resignation,,,
264,,,tile,,,,rest,,,
265,,,tongue,,,,retirement,,,
266,,,tooth,,,,return,,,
267,,,torch,,,,revolution,,,
268,,,touch,,,,role,,,
269,,,towel,,,,rome,,,
270,,,trap,,,,round,,,
271,,,tray,,,,rule,,,
272,,,tree,,,,russia,,,
273,,,trick,,,,russian,,,
274,,,trousers,,,,scandal,,,
275,,,truck,,,,scene,,,
276,,,tube,,,,score,,,
277,,,tune,,,,scotland,,,
278,,,turn,,,,season,,,
279,,,uniform,,,,seat,,,
280,,,vein,,,,second,,,
281,,,waist,,,,secret,,,
282,,,walk,,,,series,,,
283,,,wall,,,,session,,,
284,,,watch,,,,show,,,
285,,,water,,,,society,,,
286,,,weapon,,,,song,,,
287,,,wheel,,,,spain,,,
288,,,white,,,,sport,,,
289,,,wind,,,,spring,,,
290,,,window,,,,squad,,,
291,,,wine,,,,stage,,,
292,,,wing,,,,star,,,
293,,,wire,,,,start,,,
294,,,wood,,,,state,,,
295,,,wound,,,,storm,,,
296,,,wrist,,,,strike,,,
297,,,,,,,studio,,,
298,,,,,,,succession,,,
299,,,,,,,suicide,,,
300,,,,,,,summer,,,
301,,,,,,,talk,,,
302,,,,,,,team,,,
303,,,,,,,television,,,
304,,,,,,,theme,,,
305,,,,,,,thousand,,,
306,,,,,,,time,,,
307,,,,,,,times,,,
308,,,,,,,title,,,
309,,,,,,,tour,,,
310,,,,,,,tournament,,,
311,,,,,,,treaty,,,
312,,,,,,,trial,,,
313,,,,,,,tribunal,,,
314,,,,,,,trip,,,
315,,,,,,,troops,,,
316,,,,,,,trophy,,,
317,,,,,,,union,,,
318,,,,,,,universe,,,
319,,,,,,,university,,,
320,,,,,,,victory,,,
321,,,,,,,video,,,
322,,,,,,,visit,,,
323,,,,,,,wales,,,
324,,,,,,,washington,,,
325,,,,,,,week,,,
326,,,,,,,weekend,,,
327,,,,,,,while,,,
328,,,,,,,whilst,,,
329,,,,,,,wicket,,,
330,,,,,,,winter,,,
331,,,,,,,withdrawal,,,
332,,,,,,,workshop,,,
333,,,,,,,world,,,
334,,,,,,,year,,,
335,,,,,,,york,,,
336,,,,,,,youth,,,
